ID,x,y,order_production_type,slot_total,single_batch_size,no_merge_batch_size,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10
1,4,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
2,9,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
3,14,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
4,19,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
5,24,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
6,29,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
7,34,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
8,39,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
9,44,1,11111111111,12,20,5,11111111111%80400000%12,,,,,,,,,
